lemma,root,sources,phonetic,pos,glosses,norm_freq
kejjel,k-j-l,['Spagnol2011'],kɛɪjɛl,VERB,"to measure, to weigh, to estimate",17.058710839120515
tkejjel,k-j-l,['Spagnol2011'],tkɛɪjɛl,VERB,"to be measured, to be estimated",20.14789412842503
kiel,k-j-l,['Spagnol2011'],kɪːl,VERB,"to eat, to weather, to erode, to tickle, to itch, to be given a punishment, to find oneself the victim of an action",516.6558753203057
kera,k-r-j,['Spagnol2011'],kɛrɐ,VERB,"to rent, to lease",144.94287516362792
nkera,k-r-j,['Spagnol2011'],nkɛrɐ,VERB,"to be rented, to be leased",15.8832164186449
kewa,k-w-j,['Spagnol2011'],kɛʊɐ,VERB,"to heat up to a high temperature, to burn white hot, to brand, to cauterise",18.093787837355013
kien,k-w-n,"['Spagnol2011', 'Falzon2013']",kɪːn,VERB,"to be, to exist",20565.96894947937
libes,l-b-s,['Spagnol2011'],lɪbɛs,VERB,"to wear, to put on, to get dressed, to join a religious orde",25.8167460606163
lagħab,l-għ-b,['Spagnol2011'],lɐːp,VERB,"to play, to pretend, to act, to gamble, to waver or be unsteady, to give a blow, to cheat somebody",140.98711578277823
ntlagħab,l-għ-b,['Spagnol2011'],ntlɐːp,VERB,"to be played, to be gambled (used of the money or winnings being gambled), to be cheated",21.15087571586156
laħaq,l-ħ-q,"['Spagnol2011', 'Falzon2013']",lɐhɐʔ,VERB,"to reach, to catch up, to be just in time, to be promoted",229.8071532398077
laħħaq,l-ħ-q,['Spagnol2011'],lɐhhɐʔ,VERB,"to enable timely arrival, to make it just in time, to cope",55.94631294720968
tlaħħaq,l-ħ-q,['Spagnol2011'],tlɐhhɐʔ,VERB,"to be reached, to be extended or lengthened to reach a spot, to be given a promotion",44.61663293552663
ntlaħaq,l-ħ-q,['Spagnol2011'],ntlɐhɐʔ,VERB,to be reached,88.38273748490708
laqqa',l-q-għ,['Spagnol2011'],lɐʔʔɐ,VERB,"to cause to meet, to call a meeting",16.320516390767228
ntlaqa',l-q-għ,['Spagnol2011'],ntlɐʔɐ,VERB,"to be accepted, to be assented to",22.202000419495043
ltaqa',l-q-għ,"['Spagnol2011', 'Falzon2013']",ltɐʔɐ,VERB,to meet,238.29237746952072
laqat,l-q-t,['Spagnol2011'],lɐʔɐt,VERB,"to hit, to brush against, to make an impression",131.46280262848094
ntlaqat,l-q-t,['Spagnol2011'],ntlɐʔɐt,VERB,"to be hit, to be brushed against",42.93162386863326
lema,l-m-j,['Spagnol2011'],lɛmɐ,VERB,"to glint, to glitter",394.9019344582104
liem,l-w-m,"['Spagnol2011', 'Falzon2013']",lɪːm,VERB,"to scold, to blame, to reproach",678.3886622576211
